iter	Passed	Remaining
0	1	194
1	3	166
2	4	154
3	5	140
4	7	136
5	8	135
6	10	136
7	11	134
8	13	132
9	14	129
10	15	128
11	17	126
12	18	124
13	19	122
14	21	121
15	22	119
16	24	118
17	26	119
18	27	119
19	29	117
20	30	115
21	32	114
22	33	112
23	34	110
24	36	108
25	37	107
26	39	107
27	41	106
28	43	107
29	45	105
30	46	104
31	48	102
32	49	100
33	50	98
34	52	97
35	53	95
36	55	94
37	56	92
38	58	90
39	59	89
40	60	87
41	61	84
42	62	83
43	64	81
44	65	79
45	66	78
46	68	77
47	69	75
48	71	74
49	72	72
50	73	71
51	75	69
52	76	68
53	77	66
54	78	64
55	80	63
56	82	61
57	83	60
58	85	59
59	86	57
60	87	56
61	89	54
62	90	53
63	92	51
64	93	50
65	95	49
66	96	47
67	97	46
68	99	44
69	100	43
70	102	41
71	103	40
72	105	38
73	106	37
74	107	35
75	109	34
76	111	33
77	112	31
78	114	30
79	115	28
80	116	27
81	118	25
82	119	24
83	121	23
84	123	21
85	126	20
86	128	19
87	130	17
88	131	16
89	133	14
90	134	13
91	135	11
92	137	10
93	138	8
94	140	7
95	141	5
96	143	4
97	144	2
98	146	1
99	147	0
