iter	Passed	Remaining
0	180	180429
1	185	92746
2	188	62759
3	190	47403
4	197	39390
5	199	33105
6	204	29050
7	209	25972
8	211	23335
9	213	21133
10	218	19624
11	222	18332
12	227	17277
13	230	16259
14	232	15255
15	236	14533
16	237	13753
17	242	13234
18	245	12677
19	250	12283
20	253	11802
21	254	11325
22	258	10962
23	259	10561
24	264	10302
25	267	10039
26	269	9707
27	273	9502
28	278	9309
29	284	9184
30	285	8932
31	291	8817
32	293	8602
33	295	8389
34	297	8204
35	299	8018
36	303	7907
37	305	7740
38	307	7577
39	309	7417
40	313	7326
41	314	7182
42	316	7047
43	320	6959
44	322	6839
45	323	6717
46	327	6630
47	328	6520
48	330	6414
49	332	6312
50	336	6252
51	337	6153
52	339	6059
53	340	5966
54	345	5929
55	346	5845
56	348	5766
57	353	5738
58	356	5680
59	357	5607
60	361	5562
61	363	5499
62	365	5435
63	366	5367
64	371	5347
65	373	5285
66	374	5221
67	376	5160
68	380	5137
69	382	5080
70	384	5029
71	385	4975
72	391	4965
73	392	4911
74	394	4864
75	400	4870
76	402	4819
77	408	4832
78	410	4788
79	413	4753
80	418	4747
81	420	4702
82	420	4649
83	422	4607
84	427	4598
85	428	4557
86	430	4518
87	432	4477
88	436	4462
89	437	4425
90	439	4387
91	440	4349
92	443	4329
93	445	4295
94	448	4269
95	459	4329
96	468	4357
97	469	4324
98	472	4296
99	473	4262
100	475	4236
101	477	4204
102	483	4214
103	486	4189
104	491	4191
105	495	4180
106	497	4150
107	499	4126
108	501	4098
109	506	4101
110	509	4079
111	510	4051
112	517	4061
113	519	4034
114	520	4007
115	527	4021
116	529	3994
117	538	4025
118	546	4049
119	548	4023
120	551	4005
121	552	3978
122	560	3993
123	561	3969
124	568	3982
125	571	3965
126	578	3979
127	581	3958
128	589	3978
129	590	3954
130	598	3971
131	600	3947
132	605	3950
133	607	3928
134	609	3904
135	615	3911
136	617	3889
137	618	3866
138	625	3876
139	627	3854
140	628	3831
141	631	3813
142	632	3793
143	641	3811
144	642	3790
145	648	3794
146	650	3776
147	652	3755
148	654	3739
149	656	3720
150	662	3725
151	664	3709
152	666	3690
153	684	3758
154	685	3738
155	691	3742
156	693	3725
157	695	3705
158	701	3711
159	703	3693
160	704	3671
161	711	3681
162	714	3666
163	720	3673
164	722	3654
165	729	3665
166	731	3649
167	737	3652
168	739	3635
169	740	3617
170	745	3613
171	747	3596
172	748	3578
173	750	3560
174	756	3564
175	757	3547
176	759	3529
177	762	3519
178	763	3503
179	765	3486
180	766	3469
181	768	3454
182	773	3451
183	775	3438
184	777	3424
185	784	3431
186	786	3417
187	787	3403
188	790	3391
189	798	3402
190	821	3481
191	839	3531
192	849	3551
193	854	3551
194	860	3553
195	869	3566
196	875	3567
197	877	3554
198	878	3538
199	882	3531
200	884	3517
201	890	3517
202	894	3513
203	899	3508
204	900	3493
205	906	3492
206	915	3507
207	920	3505
208	926	3505
209	936	3522
210	955	3573
211	965	3587
212	971	3588
213	973	3577
214	979	3574
215	983	3569
216	987	3563
217	990	3552
218	992	3538
219	993	3523
220	999	3524
221	1001	3509
222	1003	3495
223	1005	3483
224	1007	3469
225	1008	3455
226	1014	3454
227	1016	3440
228	1017	3426
229	1022	3423
230	1025	3412
231	1027	3400
232	1031	3394
233	1032	3380
234	1034	3366
235	1035	3352
236	1037	3338
237	1039	3327
238	1040	3313
239	1042	3299
240	1043	3286
241	1047	3279
242	1048	3266
243	1049	3253
244	1051	3239
245	1052	3227
246	1056	3219
247	1057	3207
248	1059	3194
249	1060	3181
250	1061	3168
251	1064	3160
252	1066	3148
253	1067	3136
254	1069	3124
255	1070	3112
256	1073	3104
257	1075	3092
258	1076	3080
259	1078	3068
260	1079	3057
261	1083	3051
262	1085	3040
263	1086	3029
264	1088	3017
265	1091	3010
266	1092	3000
267	1094	2990
268	1096	2979
269	1098	2970
270	1101	2961
271	1102	2951
272	1104	2941
273	1111	2944
274	1113	2934
275	1114	2923
276	1122	2929
277	1124	2919
278	1129	2917
279	1130	2907
280	1137	2911
281	1139	2901
282	1145	2901
283	1148	2894
284	1149	2883
285	1156	2886
286	1157	2875
287	1159	2865
288	1161	2858
289	1163	2848
290	1165	2839
291	1169	2835
292	1170	2825
293	1175	2822
294	1178	2817
295	1180	2808
296	1185	2805
297	1186	2795
298	1193	2796
299	1194	2787
300	1198	2784
301	1202	2779
302	1203	2769
303	1208	2766
304	1212	2762
305	1213	2752
306	1219	2751
307	1221	2744
308	1223	2735
309	1231	2740
310	1232	2731
311	1240	2734
312	1241	2725
313	1246	2723
314	1249	2717
315	1251	2708
316	1257	2710
317	1259	2701
318	1264	2699
319	1268	2695
320	1275	2698
321	1278	2692
322	1283	2690
323	1287	2686
324	1292	2685
325	1295	2679
326	1297	2670
327	1304	2673
328	1312	2676
329	1313	2667
330	1317	2663
331	1322	2661
332	1326	2657
333	1331	2655
334	1336	2652
335	1340	2649
336	1344	2646
337	1346	2637
338	1354	2640
339	1355	2631
340	1360	2628
341	1368	2632
342	1379	2641
343	1382	2637
344	1391	2642
345	1393	2633
346	1400	2635
347	1402	2626
348	1406	2624
349	1410	2619
350	1412	2610
351	1417	2609
352	1420	2602
353	1421	2593
354	1428	2595
355	1430	2586
356	1435	2584
357	1438	2578
358	1439	2570
359	1447	2572
360	1448	2564
361	1453	2561
362	1455	2554
363	1462	2555
364	1464	2547
365	1468	2544
366	1472	2539
367	1473	2530
368	1474	2522
369	1478	2517
370	1479	2509
371	1481	2500
372	1484	2496
373	1486	2487
374	1490	2484
375	1494	2479
376	1495	2471
377	1499	2467
378	1503	2463
379	1504	2455
380	1508	2451
381	1511	2445
382	1512	2437
383	1514	2429
384	1521	2430
385	1522	2422
386	1524	2414
387	1526	2407
388	1528	2400
389	1529	2392
390	1534	2389
391	1537	2384
392	1538	2376
393	1541	2371
394	1543	2363
395	1544	2356
396	1549	2353
397	1550	2345
398	1552	2337
399	1553	2330
400	1554	2322
401	1558	2318
402	1560	2311
403	1561	2303
404	1562	2296
405	1564	2288
406	1566	2282
407	1568	2275
408	1569	2267
409	1571	2260
410	1575	2257
411	1577	2250
412	1578	2244
413	1580	2236
414	1581	2229
415	1586	2226
416	1587	2219
417	1594	2220
418	1596	2213
419	1603	2214
420	1605	2207
421	1611	2206
422	1614	2202
423	1619	2199
424	1624	2197
425	1632	2199
426	1634	2193
427	1638	2190
428	1643	2187
429	1648	2184
430	1649	2177
431	1654	2175
432	1655	2168
433	1665	2172
434	1675	2176
435	1689	2184
436	1691	2179
437	1693	2172
438	1697	2169
439	1701	2165
440	1702	2158
441	1707	2155
442	1710	2151
443	1712	2144
444	1717	2142
445	1720	2137
446	1721	2130
447	1729	2130
448	1730	2123
449	1737	2123
450	1739	2116
451	1744	2114
452	1747	2109
453	1748	2103
454	1753	2100
455	1756	2095
456	1758	2089
457	1760	2083
458	1762	2077
459	1763	2070
460	1765	2064
461	1768	2059
462	1769	2052
463	1775	2050
464	1777	2044
465	1778	2038
466	1783	2035
467	1784	2029
468	1786	2022
469	1787	2015
470	1791	2012
471	1793	2006
472	1794	1999
473	1796	1993
474	1799	1989
475	1801	1982
476	1802	1976
477	1803	1969
478	1804	1963
479	1806	1956
480	1809	1951
481	1810	1945
482	1811	1939
483	1813	1932
484	1814	1926
485	1817	1922
486	1819	1916
487	1820	1910
488	1822	1904
489	1824	1898
490	1826	1893
491	1827	1887
492	1829	1881
493	1830	1875
494	1832	1869
495	1835	1865
496	1836	1859
497	1838	1852
498	1839	1846
499	1840	1840
500	1843	1836
501	1845	1830
502	1846	1824
503	1848	1818
504	1849	1812
505	1851	1807
506	1853	1802
507	1854	1796
508	1856	1790
509	1857	1784
510	1858	1778
511	1863	1775
512	1864	1770
513	1865	1764
514	1867	1758
515	1875	1759
516	1877	1754
517	1885	1754
518	1887	1748
519	1895	1749
520	1896	1743
521	1902	1742
522	1904	1736
523	1906	1731
524	1909	1727
525	1910	1721
526	1917	1721
527	1920	1716
528	1928	1717
